businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
"HENDERSON, NV",WM Supercenter,300 E LAKE MEAD PKWY,HENDERSON,CLARK,NV,89015-5576,2050,No,Not Available,No,Not Available
"KINGMAN, AZ",WM Supercenter,3396 STOCKTON HILL RD,KINGMAN,MOHAVE,AZ,86409-3648,2051,No,Available,Yes,Available
"UKIAH, CA",Wal-Mart,1155 AIRPORT PARK BLVD,UKIAH,MENDOCINO,CA,95482-5998,2052,No,,No,
"WILLOWS, CA",WM Supercenter,470 N AIRPORT RD,WILLOWS,GLENN,CA,95988-9701,2053,Yes,Available,Yes,Available
MARTELL (JACKSON) CA,Wal-Mart,10355 WICKLOW WAY,JACKSON,AMADOR,CA,95642-9324,2054,Yes,Available,Yes,Available
"CONCORD, NH",WM Supercenter,344 LOUDON RD,CONCORD,MERRIMACK,NH,03301-6095,2055,No,,Yes,Available
"SARATOGA SPRINGS, NY",WM Supercenter,16 OLD GICK RD,SARATOGA SPRINGS,SARATOGA,NY,12866-9452,2056,No,Not Available,No,Available
"RINDGE, NH",Wal-Mart,750 US ROUTE 202,RINDGE,CHESHIRE,NH,03461-5615,2057,No,Not Available,Yes,Not Available
"RALEIGH, NC",WM Supercenter,1725 NEW HOPE CHURCH RD,RALEIGH,WAKE,NC,27609-6285,2058,Yes,Available,Yes,Available
"GREENSBURG, PA",WM Supercenter,2200 GREENGATE CENTRE CIR,GREENSBURG,WESTMORELAND,PA,15601-1290,2059,No,,Yes,Available
MCKINNEY TX,WM Supercenter,2041 N REDBUD BLVD,MCKINNEY,COLLIN,TX,75069-8214,206,No,Available,No,Available
"PLAINWELL, MI",WM Supercenter,412 OAKS XING,PLAINWELL,ALLEGAN,MI,49080-1900,2061,Yes,Available,Yes,Available
"BENTON HARBOR, MI",WM Supercenter,1400 MALL DR,BENTON HARBOR,BERRIEN,MI,49022-2325,2062,No,,Yes,
"AUSTINTOWN, OH",WM Supercenter,6001 MAHONING AVE,AUSTINTOWN,MAHONING,OH,44515-2227,2063,No,,Yes,
"MILFORD, PA",WM Supercenter,220 ROUTE 6 AND 209,MILFORD,PIKE,PA,18337-9454,2064,No,Not Available,No,Not Available
"KNOXVILLE (W), TN",WM Supercenter,8445 WALBROOK DR,KNOXVILLE,KNOX,TN,37923-3115,2065,Yes,Available,Yes,Available
"HOUSTON, TX",WM Supercenter,2727 DUNVALE RD,HOUSTON,HARRIS,TX,77063-4401,2066,Yes,Available,Yes,Available
"MAYAGUEZ, PR",Wal-Mart,975 AVE HOSTOS STE 2100,MAYAGUEZ,MAYAGUEZ,PR,00680-1252,2067,,,,
"FAIRLESS HILLS, PA",WM Supercenter,180 LEVITTOWN CTR,LEVITTOWN,BUCKS,PA,19055-2601,2068,Yes,Available,Yes,Available
"SOUTH MEDFORD, OR",WM Supercenter,1360 CENTER DR,MEDFORD,JACKSON,OR,97501-7941,2069,No,Available,Yes,Available
CLEVELAND OK,WM Supercenter,772 N AIRPORT RD,CLEVELAND,PAWNEE,OK,74020-1208,207,No,,No,
